fecha UTC,hora UTC,latitud (º),longitud (º),profundidad (km),magnitud (M)
2001-07-31,23:46:42.00,-4.541,-80.6183,46,4.5
2001-08-12,02:42:44.00,-5.5927,-80.7792,38,4.8
2001-09-11,13:24:49.00,-5.1338,-80.0915,67,4.5
2001-09-16,08:45:14.00,-4.4433,-80.7173,28,4.5
2001-10-10,07:23:58.00,-4.787,-80.9131,29,4.5
2001-10-11,14:19:40.00,-5.3707,-81.0907,14,4.6
2001-10-11,14:38:24.00,-4.7018,-80.863,38,4.5
2001-10-16,10:23:43.00,-5.7672,-80.218,45,4.5
2001-10-18,07:16:02.00,-5.4364,-81.5314,10,4.8
2001-10-24,07:52:01.00,-4.3885,-80.5954,38,4.5
2001-11-17,03:34:50.00,-4.4738,-80.0476,83,4.5
2001-11-28,14:37:25.00,-4.6986,-80.9938,55,4.9
2001-12-02,21:25:56.00,-4.5466,-81.6182,18,4.5
2001-12-16,21:45:38.00,-5.0576,-80.2484,51,4.6
2002-01-12,02:21:32.00,-5.0066,-80.9536,25,4.7
2002-01-19,22:31:16.00,-5.0569,-80.8808,43,4.5
2002-01-23,09:41:35.00,-5.6853,-80.0142,84,4.5
2002-01-29,20:01:50.00,-5.799,-80.6088,70,4.9
2002-02-03,18:00:58.00,-4.3195,-81.1163,54,4.5
2002-03-03,21:30:46.00,-5.3555,-80.4905,43,4.5
2002-03-17,15:50:20.00,-4.6373,-80.6538,44,4.8
2002-03-21,04:39:08.00,-4.3348,-80.8123,33,4.5
2002-07-22,07:01:33.00,-4.3599,-81.406,52,4.5
2002-09-05,20:26:23.00,-5.3967,-80.9695,11,4.5
2002-09-13,10:23:01.00,-5.1244,-81.1359,56,5.4
2002-09-29,02:52:27.00,-4.7662,-81.5143,48,5.3
2002-09-30,03:15:46.00,-5.609,-81.0562,29,4.7
2002-10-16,10:56:55.00,-5.5436,-80.0229,50,4.5
2002-12-15,04:05:22.00,-5.477,-81.008,33,4.3
2003-01-17,06:01:51.00,-5.192,-81.179,33,4.3
2003-01-18,11:02:16.00,-5.8515,-80.8364,36,4.8
2003-02-21,00:37:58.00,-5.3497,-80.838,11,4.8
2003-08-30,13:07:39.00,-4.9544,-80.3318,48,4.7
2003-09-06,12:11:23.00,-4.5308,-80.3388,94,5.1
2003-09-20,07:50:48.00,-5.4232,-80.9599,38,4.5
2003-09-22,23:40:07.00,-5.6084,-80.7369,18,4.7
2003-10-01,09:37:35.00,-5.37,-80.7328,34,4.5
2003-10-24,05:18:00.00,-5.0328,-80.8127,14,4.5
2003-11-01,00:37:21.00,-5.0345,-80.5391,18,4.5
2003-11-14,03:30:49.00,-4.3629,-80.4848,24,4.8
2003-11-19,08:55:43.00,-4.5437,-81.0415,50,4.5
2003-11-22,04:44:39.00,-5.7774,-80.967,11,4.9
2003-11-25,22:40:43.00,-5.4103,-80.2795,42,4.5
2003-12-08,02:21:52.00,-4.9307,-80.8631,50,4.5
2003-12-10,17:23:45.00,-5.7609,-80.9721,10,4.5
2003-12-16,00:56:01.00,-5.1187,-81.204,25,4.8
2004-01-08,21:19:49.00,-4.9495,-80.3153,27,5.3
2004-01-10,16:27:49.00,-4.3689,-80.9949,11,4.5
2004-01-29,09:14:36.00,-4.846,-80.65,29,4.6
2004-02-11,13:19:45.00,-4.8111,-80.8409,51,4.5
2004-03-07,21:42:41.00,-5.6401,-80.6342,30,4.5
2004-03-10,07:42:47.00,-4.8602,-81.1469,41,4.5
2004-04-30,08:50:42.00,-5.0506,-80.105,45,4.5
2004-05-14,11:31:47.00,-5.8698,-80.2954,50,4.6
2004-05-25,10:04:19.00,-4.6319,-80.431,38,5.5
2004-06-30,12:08:09.00,-4.3885,-79.8734,89,4.5
2004-08-02,03:50:58.00,-4.5878,-80.408,28,4.5
2004-08-14,20:29:05.00,-4.7518,-80.1708,37,4.7
2004-08-31,10:54:21.00,-5.6941,-79.9967,66,4.5
2004-10-10,03:01:38.00,-5.0333,-80.9014,49,4.6
2004-11-09,07:50:18.00,-5.8732,-81.1874,32,4.8
2004-11-29,00:33:13.00,-5.808,-79.951,56,4.5
2005-01-24,06:33:25.00,-4.7568,-80.0624,84,4.5
2005-02-20,22:41:27.00,-5.3244,-80.2811,54,4.6
2005-03-22,06:51:54.00,-5.0521,-80.5065,49,4.8
2005-03-23,13:55:37.00,-4.5686,-80.6443,34,4.5
2005-03-23,23:22:10.00,-4.9083,-80.2654,40,4.7
2005-04-05,10:02:07.00,-4.845,-80.8814,57,4.6
2005-04-09,13:32:32.00,-5.1137,-80.1716,44,5.2
2005-04-11,08:06:34.00,-4.3348,-80.728,63,4.5
2005-04-13,22:10:41.00,-4.5019,-80.5346,61,4.5
2005-04-27,03:02:01.00,-4.8724,-80.7213,30,4.6
2005-05-13,19:18:04.00,-4.3481,-80.6512,33,5.3
2005-05-22,18:08:44.00,-5.4917,-79.9271,87,4.9
2005-06-04,23:49:52.00,-4.8415,-80.0587,68,4.9
2005-06-04,23:59:27.00,-4.8851,-80.2466,55,4.9
2005-07-15,02:11:22.00,-4.4487,-80.1397,56,4.6
2005-07-26,11:05:58.00,-5.6395,-80.248,48,4.5
2005-08-16,04:21:47.00,-4.3294,-80.7855,25,4.5
2005-08-23,06:32:23.00,-4.9269,-80.7392,67,5.2
2005-08-25,08:47:07.00,-4.9785,-80.4749,60,4.8
2005-09-26,15:56:10.00,-4.6782,-81.0034,67,4.5
2005-11-11,13:36:36.00,-5.8048,-80.9003,54,4.9
